"WALKING" "WALKING_UPSTAIRS" "WALKING_DOWNSTAIRS" "SITTING" "STANDING" "LAYING"
0.268648643296245 0.273059614418965 0.279153494050367 0.276336875325203 0.288137227760313 0.26229464948342
-0.0183177280685082 -0.0126895730832639 -0.016151886473745 -0.0179068331339779 -0.0163119254923574 -0.0259232890342181
-0.107435631519084 -0.105517003220878 -0.106586908690788 -0.108881687638618 -0.105761624860013 -0.120537934670272
-0.960932405036523 -0.983446221750141 -0.98443471156873 -0.314644454310285 0.100766330932127 -0.237989747950635
-0.943507185574074 -0.934880562895515 -0.932508714024134 -0.0235829464260859 0.0595486228783642 -0.0160325123253303
-0.948069300024897 -0.938981580616207 -0.939913504673138 -0.2739207990668 -0.190804507442162 -0.175449700484728
-0.375021333827161 0.879731193472144 0.941479635262329 0.93499157825784 0.926457404928876 0.875003375958549
0.622270362899691 0.108713540331707 -0.18424651390288 -0.196713497359117 -0.168507222023357 -0.281377193548575
0.55561247407572 0.153774088505577 -0.0140519613122015 -0.0538251249015482 -0.0479709004743904 -0.14079566587547
-0.943319727953189 -0.979682230393922 -0.988015176652676 -0.977612074494773 -0.949748838733997 -0.948191332253886
-0.963191706084414 -0.957672740350591 -0.969351769994753 -0.966903875917538 -0.934266078534851 -0.925549271962435
-0.951868724368827 -0.947357438593134 -0.953082525826338 -0.954597565156794 -0.912460554516358 -0.901905618180052
0.0818473898341049 0.0758788492274395 0.0750279173525708 0.0767187377408595 0.0892266917679481 0.0767293215286917
0.0111723565401199 0.00504690529678683 0.00880525863452886 0.0115061924659823 0.000746749097403983 0.00875888964679404
-0.00485976942268338 -0.0024866605775919 -0.00458206132902833 -0.00231938614930952 -0.00872860399406828 -0.00600953398545337
-0.980381808513375 -0.984997226336522 -0.97996855569255 -0.267288163330981 -0.0338826468930654 -0.360863432417876
-0.971147567757202 -0.973883160517726 -0.964342752203568 -0.103141139217389 -0.0736744063550434 -0.339226496686328
-0.951868724368827 -0.947357438593134 -0.953082525826338 -0.954597565156794 -0.912460554516358 -0.901905618180052
0.0818473898341049 0.0758788492274395 0.0750279173525708 0.0767187377408595 0.0892266917679481 0.0767293215286917
0.0111723565401199 0.00504690529678683 0.00880525863452886 0.0115061924659823 0.000746749097403983 0.00875888964679404
-0.00485976942268338 -0.0024866605775919 -0.00458206132902833 -0.00231938614930952 -0.00872860399406828 -0.00600953398545337
-0.980381808513375 -0.984997226336522 -0.97996855569255 -0.267288163330981 -0.0338826468930654 -0.360863432417876
-0.971147567757202 -0.973883160517726 -0.964342752203568 -0.103141139217389 -0.0736744063550434 -0.339226496686328
-0.979476595910494 -0.982296486972425 -0.979485931469045 -0.479147120981986 -0.388666069444772 -0.627063649764249
-0.0167253403420918 -0.0384313168439482 -0.0266871408413746 -0.0347275766522822 -0.0840345434632895 0.00682449600215674
-0.0934107103603086 -0.0721208098964153 -0.0677118654705719 -0.0694200436104837 -0.0529928638977233 -0.0885225289752966
0.125885141252623 0.0777771461510523 0.0801422394994229 0.0863626487285566 0.0946781961059175 0.0598938080367487
-0.967892432932613 -0.981022213218908 -0.94552836296957 -0.469914839340418 -0.333817475057255 -0.46760713827921
-0.963192469243827 -0.966708127310073 -0.961293278672613 -0.347921806314175 -0.339631376954339 -0.344231806672079
-0.963509228024691 -0.958007496724817 -0.957053051274921 -0.338448612532172 -0.272809910672304 -0.237136760675842
-0.101864299363374 -0.0956521058184581 -0.0997292806919727 -0.0943007119992102 -0.0728532273938407 -0.112117464583562
-0.038198085408019 -0.040779780524009 -0.0423171100101784 -0.0445701108594715 -0.051263979292845 -0.0386192672141386
-0.0638498197415123 -0.0507555280236061 -0.052095548445404 -0.0540064674427816 -0.0546961525371337 -0.0525810278118912
-0.976124813760288 -0.985705127658976 -0.966957942859391 -0.37622140274036 -0.38268977198606 -0.553132758357837
-0.980473581049383 -0.986502338745076 -0.980263299260231 -0.512619067859872 -0.465943810555121 -0.667339157124352
-0.984782526095679 -0.983805514068655 -0.977067117235047 -0.447427245411672 -0.326455992480064 -0.560989210937073
-0.941110656500514 -0.95464392144063 -0.954179661789087 -0.167937853979757 0.101249699851558 -0.100204123946392
-0.932160020511831 -0.939324188353517 -0.946534779481637 -0.33775398556687 0.116488914352198 -0.249875157023391
-0.941110656500514 -0.95464392144063 -0.954179661789087 -0.167937853979757 0.101249699851558 -0.100204123946392
-0.932160020511831 -0.939324188353517 -0.946534779481637 -0.33775398556687 0.116488914352198 -0.249875157023391
-0.974300115365226 -0.978684370388295 -0.971090423866737 -0.214653971925401 0.00476245916278094 -0.353961999926425
